code,survey,lib
LVHO07a,EUSILC,RDB
LVHO07b,EUSILC,RDB
LVHO07c,EUSILC,RDB
LVHO07d,EUSILC,RDB
LVHO07e,EUSILC,RDB
LVHO08a,EUSILC,RDB
LVHO08b,EUSILC,RDB
LVHO15,EUSILC,RDB
LVHO16,EUSILC,RDB
LVHO25,EUSILC,RDB
LVHO26,EUSILC,RDB
LVHO27,EUSILC,RDB
LVHO28,EUSILC,RDB
LVHO29,EUSILC,RDB
LVHO30,EUSILC,RDB
LVHO50a,EUSILC,RDB
LVHO50b,EUSILC,RDB
LVHO50c,EUSILC,RDB
LVHO50d,EUSILC,RDB
MDDD11,EUSILC,RDB
MDDD12,EUSILC,RDB
MDDD13,EUSILC,RDB
MDDD14,EUSILC,RDB
MDDD15,EUSILC,RDB
MDDD16,EUSILC,RDB
MDDD17,EUSILC,RDB
MDDD21,EUSILC,RDB
MDDD60,EUSILC,RDB
MDHO05,EUSILC,RDB
MDHO06a,EUSILC,RDB
MDHO06b,EUSILC,RDB
MDHO06c,EUSILC,RDB
MDHO06b,EUSILC,RDB
MDHO06q,EUSILC,RDB
OV9B1,EUSILC,RDB
OV9B2,EUSILC,RDB
PEES01,EUSILC,RDB
PEES02,EUSILC,RDB
PEES03,EUSILC,RDB
PEES04,EUSILC,RDB
PEES05,EUSILC,RDB
PEES06,EUSILC,RDB
PEES07,EUSILC,RDB
PEES08,EUSILC,RDB
PEPS01,EUSILC,RDB
PEPS02,EUSILC,RDB
PEPS03,EUSILC,RDB
PEPS04,EUSILC,RDB
PEPS05,EUSILC,RDB
PEPS06,EUSILC,RDB
PEPS07,EUSILC,RDB
PEPS11,EUSILC,RDB
PEPS60,EUSILC,RDB
PNP10,EUSILC,RDB
PNP11,EUSILC,RDB
PNP2,EUSILC,RDB
PNP3,EUSILC,RDB
PNP9,EUSILC,RDB
PNS11,EUSILC,RDB
PNS2,EUSILC,RDB
HCMP01,EUSILC,RDB2
HCMP02,EUSILC,RDB2
HCMP03,EUSILC,RDB2
HCMP04,EUSILC,RDB2
HCMP05,EUSILC,RDB2
HCMP06,EUSILC,RDB2
IGTP01,EUSILC,RDB2
IGTP02,EUSILC,RDB2
LI33,EUSILC,RDB2
li34,EUSILC,RDB2
LI43,EUSILC,RDB2
LI97,EUSILC,RDB2
lk11,ECHP,.
lvhl01,EUSILC,RDB2
lvhl02,EUSILC,RDB2
lvhl03,EUSILC,RDB2
lvhl04,EUSILC,RDB2
lvhl23,EUSILC,RDB2
LVHL97,EUSILC,RDB2
lvho01,EUSILC,RDB2
lvho02,EUSILC,RDB2
lvho03,EUSILC,RDB2
lvho03h,ECHP,.
lvho04,EUSILC,RDB2
lvho04d,EUSILC,RDB2
lvho04h,ECHP,.
