variable,lib,DB010,DB020,RB010,RB020,RB040,RB060,RB062,RB063,RB064,RB070,RB070_F,RB080,RB080_F,RB090,RB110,RB220,RB220_F,RB230,RB230_F,RB240_F,RB245,HB010,HB050,HB050_F,HB060,HH020,HH021,HH021_F,HH030,HH030_F,HH050,HH050_F,HH070,HS010,HS010_F,HS011,HS011_F,HS020,HS020_F,HS021,HS021_F,HS030,HS030_F,HS031,HS031_F,HS040,HS040_F,HS050,HS050_F,HS060,HS060_F,HS070,HS070_F,HS080,HS080_F,HS100,HS100_F,HS110,HS110_F,PB010,PB040,PB060,PB080,PB150,PB210,PB220A,PE040,PL020,PL025,PL030,PL031,PL031_F,PL040,PL060,PL070,PL072,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL100_F,PL140,PL210A to L,PL210A_F to L_F,PL211A to L,PL211A_F to L_F,PW005,HY020,HY020_F,HY022_F,HY023_F,HY025,HY025_F,HY040N,HY040N_F,HY040G,HY040G_F,HY050N,HY050N_F,HY050G,HY050G_F,HY060N,HY060N_F,HY060G,HY060G_F,HY070N,HY070N_F,HY070G,HY070G_F,HY080N,HY080N_F,HY080G,HY080G_F,HY90N,HY090N_F,HY090G,HY090G_F,HY100G_F,HY100N_F,HY110N,HY110N_F,HY110G,HY110G_F,PY010N,PY010N_F,PY010G,PY010G_F,PY020N,PY020N_F,PY020G,PY020G_F,PY021G,PY021G_F,PY050N,PY050N_F,PY050G,PY050G_F,PY080G,PY080G_F,PY080N,PY090N,PY090N_F,PY090G,PY090G_F,PY100N,PY100N_F,PY100G,PY100G_F,PY110N,PY110N_F,PY110G,PY110G_F,PY120N,PY120N_F,PY120G,PY120G_F,PY130N,PY130N_F,PY130G,PY130G_F,PY140N,PY140N_F,PY140G,PY140G_F,rate_ppp.ppp,rate_ppp.rate,rate_ppp.year,pgm
N_DCH,C_Var,1,,,,,,,,,1,1,1,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.VAR_HT_NADU_NDCH
N_DCH,C_Var,1,,,,,,,,,1,1,1,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.VAR_HT_NADU_NDCH
CHD,C_Var,,,,,,,,,,1,1,1,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.VAR_CHD
TENSTA,C_Var,,,,,,,,,,1,1,1,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.VAR_TENSTA
MORTGAGE,C_Var,,,,,,,,,,1,1,1,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.VAR_TENSTA
ARPTxx,C_Var,1,,,,,,,,,1,1,1,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_ARPTXX
ARPT60ihc,C_Var,,,,,,,,,,1,1,1,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_ARPTXX
QITILE,C_Var,1,,,,,,,,,1,1,1,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.VAR_QITILE
QUINTILE,L_Var,,,1,1,1,1,,,,1,1,1,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.VAR_QUINTILE
INCWRK,C_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2009,,1,<2009,<2009,,<2007,<2007,>2006,>2006,<2009,,1,<2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.VAR_INCWRK_INCPEN
INCPEN,C_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,<2009,,1,<2009,<2009,,1,<2009,,,,,,,,,,,,,,,,110.VAR_INCWRK_INCPEN
MAININC,C_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2009,,1,<2009,<2009,,1,<2009,<2009,,1,<2009,<2009,,1,<2009,<2009,,1,<2009,<2009,,1,<2009,,,<2009,,1,<2009,<2009,,1,<2009,<2009,,<2007,<2007,>2006,>2006,<2009,,1,<2009,1,1,1,<2009,,1,<2009,<2009,,1,<2009,<2009,,1,<2009,<2009,,1,<2009,<2009,,1,<2009,<2009,,1,<2009,,,,120.VAR_MAININC
HT1,C_Var,1,,,,,,,,,1,1,1,1,,,,1,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,<2009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.VAR_HT1
HT1,E_Var,1,,,,,,,,,1,1,1,1,,,,1,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,<2009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.VAR_HT1
HT1,L_Var,,,1,,,,,,,1,1,1,1,1,,,1,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,<2009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.VAR_L_HT1
DEP_RELIABILITY,C_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.VARDEP_SEV_EXT_Reliability
DEP_RELIABILITY,E_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.VARDEP_SEV_EXT_Reliability
deprived,C_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.VARDEP_SEV_EXT_Reliability
deprived,E_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.VARDEP_SEV_EXT_Reliability
sev_dep,C_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.VARDEP_SEV_EXT_Reliability
sev_dep,E_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,<2012,<2012,>2008,>2008,<2012,<2012,>2008,>2008,<2012,<2012,>2008,>2008,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.VARDEP_SEV_EXT_Reliability
ext_dep,C_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.VARDEP_SEV_EXT_Reliability
ext_dep,E_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.VARDEP_SEV_EXT_Reliability
LWI,C_Var,1,,,,,,,,,1,1,1,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,<2009,1,,,1,,<2009,,>2008,,>2008,,,,,,,,1,1,,,,,,,,,,,<2013,<2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2009,,1,<2009,<2009,,<2007,<2007,>2006,>2006,<2009,,1,<2009,<2009,<2009,<2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.VAR_LWI_WORK_INT
WORK_INT,C_Var,1,,,,,,,,,1,1,1,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,<2009,1,,,1,<2009,<2009,>2008,>2008,>2008,>2008,1,1,>2008,1,>2008,>2008,1,1,1,,,,,,,,,,,<2013,<2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2009,,1,<2009,<2009,,<2007,<2007,>2006,>2006,<2009,,1,<2009,<2009,<2009,<2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.VAR_LWI_WORK_INT
HHSIZE,C_Var,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.VAR_HHSIZE
HHSIZE,L_Var,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.VAR_HHSIZE
TENSTA_2,C_Var,,,,,,,,,,,,,,,,,,,,,,,,,,<2010,>2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.VAR_TENSTA_2
C_BIRTH,C_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.VAR_C_BIRTH_CIP_SHIP
CIT_SHIP,C_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.VAR_C_BIRTH_CIP_SHIP
AROPE,C_Var,1,,,,,,,,,1,1,1,1,,,,,,,,1,,1,1,1,,,,,,1,,,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,<2011,<2011,>2007,>2007,1,,1,,1,,1,,1,,1,,1,,,1,,,1,,,,,,<2009,1,,,1,,<2009,,>2008,,>2008,,,,,,,,1,1,,,,,,,,,,,<2013,<2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2009,,1,<2009,<2009,,<2007,<2007,>2006,>2006,<2009,,1,<2009,<2011,<2009,<2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.VAR_AROPE
OVERCROWDED,C_Var,1,,,,,,,,,1,1,1,1,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.VAR_OVERCROWDED
PL2110A,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110B,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110C,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110D,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110E,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110F,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110G,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110H,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110I,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110J,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110K,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110L,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110A_F,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110B_F,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110C_F,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110D_F,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110E_F,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110F_F,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110G_F,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110H_F,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110I_F,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110J_F,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110K_F,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
PL2110L_F,L_Var,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2011,<2011,>2008,>2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.VAR_PL2110A
ARPTxx,L_Var,X,,,,,,,,,X,X,X,X,,,,,,,,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X<2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.VAR_ARP_CrossTreshold
ARPTxxM,L_Var,X,,,,,,,,,X,X,X,X,,,,,,,,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X<2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.VAR_ARP_CrossTreshold
