GEO,COUNTRY,ZONE,YEAR_IN,YEAR_OUT
AT,ÿAustria,EA,1999,2500
AT,ÿAustria,EA12,1999,2500
AT,ÿAustria,EA13,1999,2500
AT,ÿAustria,EA16,1999,2500
AT,ÿAustria,EA17,1999,2500
AT,ÿAustria,EA18,1999,2500
AT,ÿAustria,EA19,1999,2500
AT,ÿAustria,EEA,1994,2500
AT,ÿAustria,EEA18,1994,2500
AT,ÿAustria,EEA28,1994,2500
AT,ÿAustria,EEA30,1994,2500
AT,ÿAustria,EU,1995,2500
AT,ÿAustria,EU15,1995,2500
AT,ÿAustria,EU25,1995,2500
AT,ÿAustria,EU27,1995,2500
AT,ÿAustria,EU28,1995,2500
BE,ÿBelgium,EA,1999,2500
BE,ÿBelgium,EA12,1999,2500
BE,ÿBelgium,EA13,1999,2500
BE,ÿBelgium,EA16,1999,2500
BE,ÿBelgium,EA17,1999,2500
BE,ÿBelgium,EA18,1999,2500
BE,ÿBelgium,EA19,1999,2500
BE,ÿBelgium,EEA,1994,2500
BE,ÿBelgium,EEA18,1994,2500
BE,ÿBelgium,EEA28,1994,2500
BE,ÿBelgium,EEA30,1994,2500
BE,ÿBelgium,EU,1957,2500
BE,ÿBelgium,EU07,1957,2500
BE,ÿBelgium,EU09,1957,2500
BE,ÿBelgium,EU10,1957,2500
BE,ÿBelgium,EU12,1957,2500
BE,ÿBelgium,EU15,1957,2500
BE,ÿBelgium,EU25,1957,2500
BE,ÿBelgium,EU27,1957,2500
BE,ÿBelgium,EU28,1957,2500
BG,ÿBulgaria,EEA,2011,2500
BG,ÿBulgaria,EEA30,2011,2500
BG,ÿBulgaria,EU,2007,2500
BG,ÿBulgaria,EU27,2007,2500
BG,ÿBulgaria,EU28,2007,2500
CY,ÿCyprus,EA,2008,2500
CY,ÿCyprus,EA16,2008,2500
CY,ÿCyprus,EA17,2008,2500
CY,ÿCyprus,EA18,2008,2500
CY,ÿCyprus,EA19,2008,2500
CY,ÿCyprus,EEA,2005,2500
CY,ÿCyprus,EEA28,2005,2500
CY,ÿCyprus,EEA30,2005,2500
CY,ÿCyprus,EU,2004,2500
CY,ÿCyprus,EU25,2004,2500
CY,ÿCyprus,EU27,2004,2500
CY,ÿCyprus,EU28,2004,2500
CZ,ÿCzech Republic,EEA,2005,2500
CZ,ÿCzech Republic,EEA28,2005,2500
CZ,ÿCzech Republic,EEA30,2005,2500
CZ,ÿCzech Republic,EU,2004,2500
CZ,ÿCzech Republic,EU25,2004,2500
CZ,ÿCzech Republic,EU27,2004,2500
CZ,ÿCzech Republic,EU28,2004,2500
DE,ÿGermany,EA,1999,2500
DE,ÿGermany,EA12,1999,2500
DE,ÿGermany,EA13,1999,2500
DE,ÿGermany,EA16,1999,2500
DE,ÿGermany,EA17,1999,2500
DE,ÿGermany,EA18,1999,2500
DE,ÿGermany,EA19,1999,2500
DE,ÿGermany,EEA,1994,2500
DE,ÿGermany,EEA18,1994,2500
DE,ÿGermany,EEA28,1994,2500
DE,ÿGermany,EEA30,1994,2500
DE,ÿGermany,EU,1957,2500
DE,ÿGermany,EU07,1957,2500
DE,ÿGermany,EU09,1957,2500
DE,ÿGermany,EU10,1957,2500
DE,ÿGermany,EU12,1957,2500
DE,ÿGermany,EU15,1957,2500
DE,ÿGermany,EU25,1957,2500
DE,ÿGermany,EU27,1957,2500
DE,ÿGermany,EU28,1957,2500
DK,ÿDenmark,EEA,1994,2500
DK,ÿDenmark,EEA18,1994,2500
DK,ÿDenmark,EEA28,1994,2500
DK,ÿDenmark,EEA30,1994,2500
DK,ÿDenmark,EU,1973,2500
DK,ÿDenmark,EU09,1973,2500
DK,ÿDenmark,EU10,1973,2500
DK,ÿDenmark,EU12,1973,2500
DK,ÿDenmark,EU15,1973,2500
DK,ÿDenmark,EU25,1973,2500
DK,ÿDenmark,EU27,1973,2500
DK,ÿDenmark,EU28,1973,2500
EE,ÿEstonia,EA,2011,2500
EE,ÿEstonia,EA17,2011,2500
EE,ÿEstonia,EA18,2011,2500
EE,ÿEstonia,EA19,2011,2500
EE,ÿEstonia,EEA,2005,2500
EE,ÿEstonia,EEA28,2005,2500
EE,ÿEstonia,EEA30,2005,2500
EE,ÿEstonia,EU,2004,2500
EE,ÿEstonia,EU25,2004,2500
EE,ÿEstonia,EU27,2004,2500
EE,ÿEstonia,EU28,2004,2500
EL,ÿGreece,EA,2001,2500
EL,ÿGreece,EA12,2001,2500
EL,ÿGreece,EA13,2001,2500
EL,ÿGreece,EA16,2001,2500
EL,ÿGreece,EA17,2001,2500
EL,ÿGreece,EA18,2001,2500
EL,ÿGreece,EA19,2001,2500
EL,ÿGreece,EEA,1994,2500
EL,ÿGreece,EEA18,1994,2500
EL,ÿGreece,EEA28,1994,2500
EL,ÿGreece,EEA30,1994,2500
EL,ÿGreece,EU,1981,2500
EL,ÿGreece,EU10,1981,2500
EL,ÿGreece,EU12,1981,2500
EL,ÿGreece,EU15,1981,2500
EL,ÿGreece,EU25,1981,2500
EL,ÿGreece,EU27,1981,2500
EL,ÿGreece,EU28,1981,2500
ES,ÿSpain,EA,1999,2500
ES,ÿSpain,EA12,1999,2500
ES,ÿSpain,EA13,1999,2500
ES,ÿSpain,EA16,1999,2500
ES,ÿSpain,EA17,1999,2500
ES,ÿSpain,EA18,1999,2500
ES,ÿSpain,EA19,1999,2500
ES,ÿSpain,EEA,1994,2500
ES,ÿSpain,EEA18,1994,2500
ES,ÿSpain,EEA28,1994,2500
ES,ÿSpain,EEA30,1994,2500
ES,ÿSpain,EU,1986,2500
ES,ÿSpain,EU12,1986,2500
ES,ÿSpain,EU15,1986,2500
ES,ÿSpain,EU25,1986,2500
ES,ÿSpain,EU27,1986,2500
ES,ÿSpain,EU28,1986,2500
FI,ÿFinland,EA,1999,2500
FI,ÿFinland,EA12,1999,2500
FI,ÿFinland,EA13,1999,2500
FI,ÿFinland,EA16,1999,2500
